"topic","term","beta"
13,"arpaio",6.14261360945606e-06
14,"arpaio",0.000487018002466269
15,"arpaio",4.31764815575076e-05
1,"article",8.44701288122974e-05
2,"article",3.36863707705714e-05
3,"article",7.86418629504668e-05
4,"article",6.15689739524864e-05
5,"article",3.15227853463828e-05
6,"article",1.93011023691488e-05
7,"article",2.9421991152837e-05
8,"article",4.96993090722239e-05
9,"article",0.000193900958587858
10,"article",0.000157753031675346
11,"article",3.98630628665751e-05
12,"article",0.000159172983443789
13,"article",0.000363426858423127
14,"article",0.000140093566104853
15,"article",5.97965567709205e-05
1,"assad",0.00166735872771836
2,"assad",0.000145483752280699
3,"assad",0.00311833395432622
4,"assad",0.000966591339713779
5,"assad",0.000318183768391823
6,"assad",0.00238013774341654
7,"assad",0.00045238707288381
8,"assad",0.00170195343812857
9,"assad",0.000609703628692028
10,"assad",0.00148422764243693
11,"assad",0.00194417442925615
12,"assad",0.000800106369579708
13,"assad",0.000145339377354949
14,"assad",0.000117211366198075
15,"assad",5.43440112368976e-05
1,"assault",2.62153119056986e-06
2,"assault",8.0053792134909e-06
3,"assault",1.68405273965476e-05
4,"assault",5.77547134244997e-05
5,"assault",8.47299311741671e-05
6,"assault",3.6449449267216e-05
7,"assault",2.28487127938887e-05
8,"assault",1.69297737945777e-05
9,"assault",7.13445044205863e-06
10,"assault",5.16900343321526e-05
11,"assault",8.83636156846841e-06
12,"assault",3.03821882663187e-05
13,"assault",4.93413571586839e-05
14,"assault",8.78069473710263e-05
15,"assault",2.0917525284953e-05
1,"assessment",1.31217887047344e-05
2,"assessment",5.49465474587237e-05
3,"assessment",1.71291670236863e-05
4,"assessment",2.8935254756756e-05
5,"assessment",5.36980697890089e-05
