speakers,clean_name,race,job,party,gender,pct_scored
JOHN BOEHNER TAPE,John Boehner,,,,,0
JOHN BRENNAN,John Brennan,,,,,0
JOHN CARLIN,John Carlin,,,,,0
JOHN CORNYN,John Cornyn,,,,,0
JOHN F KENNEDY,John F,,,,,0
JOHN GIBBONS,John Gibbons,,,,,0
JOHN GLENN,John Glenn,,,,,0
JOHN HARWOOD,John Harwood,,,,,0
JOHN KASICH,John Kasich,,,,,0
JOHN KELLY,John Kelly,,,,,0
JOHN KERRY,John Kerry,,,,,0
JOHN LEWIS,John Lewis,,,,,0
JOHN LOVETT,John Lovett,,,,,0
JOHN MCCAIN,John Mccain,,,,,0
JOHN McCAIN,John Mccain,,,,,0
JOHN MCLAUGHLIN,John Mclaughlin,,,,,0
JOHN NICHOLS,John Nichols,,,,,0
JOHN PODESTA,John Podesta,,,,,0
JOHN STANTON,John Stanton,,,,,0
JOHN SUNUNU,John Sununu,,,,,0
JON ALTERMAN,Jon Alterman,,,,,0
JON MEACHAM,Jon Meacham,,,,,0
JON OSSOFF,Jon Ossoff,,,,,0
JON RALSTON,Jon Ralston,,,,,0
JON RUDNITSKI,Jon Rudnitski,,,,,0
JON STEWART,Jon Stewart,,,,,0
Jonah Goldberg,Jonah Goldberg,,,,,0
JONATHAN MARTIN,Jonathan Martin,,,,,0
JONATHAN RAUCH,Jonathan Rauch,,,,,0
JONI ERNST,Joni Ernst,,,,,0
JORDAN FRASIER,Jordan Frasier,,,,,0
JOSE ANTONIO VARGAS,Jose Antonio,,,,,0
JOSE DIAZ BALART,Jose Diaz,,,,,0
JOSH EARNEST,Josh Earnest,,,,,0
JOY ANN REID,Joy Ann,,,,,0
JOY REID,Joy Reid,,,,,0
JUAN ZARATE,Juan Zarate,,,,,0
JUDY SCOTT,Judy Scott,,,,,0
JULIA LOUIS DREYFUS,Julia Louis,,,,,0
JULIAN ASSANGE,Julian Assange,,,,,0
JULIAN BOND,Julian Bond,,,,,0
JULIUS KREIN,Julius Krein,,,,,0
JUSTICE SCALIA,Justice Scalia,,,,,0
KAHTLEEN PARKER,Kahtleen Parker,,,,,0
KAILANI KOENIG,Kailani Koenig,,,,,0
Kaitlyn Leitl,Kaitlyn Leitl,,,,,0
KAREEM ABDUL JABBAR,Kareem Abdul,,,,,0
KAREN FINNEY,Karen Finney,,,,,0
KASIE HUNT,Kasie Hunt,,,,,0
KASSEM ALLIE ISLAMIC CENTER OF AMERICA,Kassem Allie,,activist,,male,0.5
KATE McKINNON,Kate Mckinnon,,,,,0
KATE MCKINNON,Kate Mckinnon,,,,,0
KATE MCKINNON AS HILLARY CLINTON,Kate Mckinnon,white,impersonator,dem,female,1
KATE McKINNON AS HILLARY CLINTON,Kate Mckinnon,white,impersonator,dem,female,1
KATE MCKINNON ON TAPE,Kate Mckinnon,,,,,0
Kate O<U+0092>Beirne,Kate O,,,,,0
KATHLEEN PARKER,Kathleen Parker,,,,,0
KATHLEEN SEBELIUS,Kathleen Sebelius,,,,,0
KATIE PACKER,Katie Packer,,,,,0
KATRINA PIERSON,Katrina Pierson,,,,,0
KATTY KAY,Katty Kay,,,,,0
KATY TUR,Katy Tur,,,,,0
Katy Tur,Katy Tur,,,,,0
KAYLA MOORE,Kayla Moore,,,,,0
KAYLA MUELLER S FATHER ON TAPE,Kayla Mueller's Father,,,,,0
KEIR SIMMONS,Keir Simmons,,,,,0
KELLI WARD,Kelli Ward,,,,,0
KELLY AYOTTE,Kelly Ayotte,,,,,0
KELLY O DONNELL,Kelly O,,,,,0
KELLY O<U+0092>DONNELL,Kelly O,,,,,0
KELLY TUR,Kelly Tur,,,,,0
KELLYANNE CONWAY,Kellyanne Conway,,,,,0
KENAN THOMPSON,Kenan Thompson,,,,,0
KENDAL UNRUH,Kendal Unruh,,,,,0
KENNETH RAY,Kenneth Ray,,,,,0
KEVIN MADDEN,Kevin Madden,,,,,0
KEVIN MCCARTHY,Kevin Mccarthy,,,,,0
KEVIN SPACEY,Kevin Spacey,,,,,0
KEVIN TIBBLES,Kevin Tibbles,,,,,0
KEVIN TIBBLES V O,Kevin Tibbles,,,,,0
KHIZR KHAN,Khizr Khan,,,,,0
KHIZR Khan,Khizr Khan,,,,,0
KIKI MCLEAN,Kiki Mclean,,,,,0
KIM STRASSEL,Kim Strassel,,,,,0
KIMBERLEY STRASSEL,Kimberley Strassel,,,,,0
KIMBERLY STRASSEL,Kimberly Strassel,,,,,0
KISHANNA BROWN,Kishanna Brown,,,,,0
KRISTEN WELKER,Kristen Welker,,,,,0
KRISTIN ANDERSON,Kristin Anderson,,,,,0
KYLE BROFLOVSKI,Kyle Broflovski,,,,,0
LANHEE CHEN,Lanhee Chen,,,,,0
LANNY DAVIS,Lanny Davis,,,,,0
LARRY DAVID,Larry David,,,,,0
Larry David,Larry David,,,,,0
LARRY DAVID AS BERNIE SANDERS,Larry David,white,impersonator,dem,male,1
LARRY KUDLOW,Larry Kudlow,,,,,0
LARRY KUDROW,Larry Kudrow,,,,,0
LAURA INGRAHAM,Laura Ingraham,,,,,0
LAWRENCE O<U+0092>DONNELL,Lawrence O,,,,,0
LAWRENCE SNOWDEN,Lawrence Snowden,,,,,0
LAWRENCE SPIVAK,Lawrence Spivak,,,,,0
LEANNE TWEEDEN,Leanne Tweeden,,,,,0
LEBRON JAMES,Lebron James,,,,,0
LEE GREENWOOD,Lee Greenwood,,,,,0
LEEANN TWEEDEN,Leeann Tweeden,,,,,0
LEON PANETTA,Leon Panetta,,,,,0
LEONARD MARSHALL,Leonard Marshall,,,,,0
LEONARD MARSHALL ON TAPE,Leonard Marshall,,,,,0
LESTER HOLT,Lester Holt,,,,,0
Let me ask you this,Let Me,,,,,0
LINDA SANCHEZ,Linda Sanchez,,,,,0
LINDSAY GRAHAM,Lindsay Graham,,,,,0
LINDSEY GRAHAM,Lindsey Graham,,,,,0
LISA MONACO,Lisa Monaco,,,,,0
LISA MYERS,Lisa Myers,,,,,0
LLOYD BENTSEN,Lloyd Bentsen,,,,,0
LORETTA LYNCH,Loretta Lynch,,,,,0
LORNE MICHAELS,Lorne Michaels,,,,,0
LT GEN H R McMASTER,Lt Gen,,,,,0
LT GEN MICHAEL FLYNN,Lt Gen,white,administration,rep,male,1
LT GENERAL DAN BOLGER,Lt General,,,,,0
LT GENERAL MICHAEL FLYNN,Lt General,white,administration,rep,male,1
LT GOV DAN PATRICK,Lt Gov,,,,,0
LUCRECE PHILLIPS,Lucrece Phillips,,,,,0
LUKE RUSSERT,Luke Russert,,,,,0
LYNDON B JOHNSON,Lyndon B,,,,,0
MAGGIE HABERMAN,Maggie Haberman,,,,,0
MAJ GEN BRETT WILLIAMS,Maj Gen,,,,,0
MAJOR GARRETT,Major Garrett,,,,,0
MALCOLM GLADWELL,Malcolm Gladwell,,,,,0
MALE ANNOUNCER,Male Announcer,,,,,0
MALE BYSTANDER,Male Bystander,,,,,0
MALE CHARLOTTESVILLE WITNESS,Charlottesville Witness,,sme,,male,0.5
MALE CONVICT,Male Convict,,,,,0
MALE DELEGATE,Male Delegate,,,,,0
MALE INMATE 1,Male Inmate,,,,,0
MALE INMATE 2,Male Inmate,,,,,0
MALE INMATE 3,Male Inmate,,,,,0
MALE NARRATOR,Male Narrator,,,,,0
MALE REPORTER,Male Reporter,,,,,0
MALE SPEAKER,Male Speaker,,,,,0
MALE SUPPORTER,Male Supporter,,,,,0
MALE TRUMP SUPPORTER,Male Trump,,,,,0
MALE TRUMP VOTER 1,Male Trump,,,,,0
MALE TRUMP VOTER 2,Male Trump,,,,,0
MALE TRUMP VOTER 3,Male Trump,,,,,0
MALE TRUMP VOTER 4,Male Trump,,,,,0
MALE VOICE,Male Voice,,,,,0
MALE VOICE 1,Male Voice,,,,,0
MALE VOICE 2,Male Voice,,,,,0
MALE VOICE 3,Male Voice,,,,,0
MALE VOLUNTEER,Male Volunteer,,,,,0
MALE VOTER,Male Voter,,,,,0
MALE VOTER 1,Male Voter,,,,,0
MALE VOTER 2,Male Voter,,,,,0
MALE VOTER 3,Male Voter,,,,,0
MALE VOTER 4,Male Voter,,,,,0
MALE VOTER 5,Male Voter,,,,,0
MALE VOTER 6,Male Voter,,,,,0
MAN IN SHELTER,Man In,,,,,0
MANU RAJU,Manu Raju,,,,,0
MARC ALLAN FELDMAN,Marc Allan,,,,,0
MARC CAPUTO,Marc Caputo,,,,,0
MARC SHORT,Marc Short,,,,,0
MARCHERS,,,,,,0
MARCO CAPUTO,Marco Caputo,,,,,0
MARCO RUBIO,Marco Rubio,,,,,0
MARIA HINOJOSA,Maria Hinojosa,,,,,0
MARIA SHRIVER,Maria Shriver,,,,,0
MARIA TERESA KUMAR,Maria Teresa,,,,,0
MARILYN MOSBY,Marilyn Mosby,,,,,0
MARILYN MOSBY TAPE,Marilyn Mosby,,,,,0
MARIO CUOMO,Mario Cuomo,,,,,0
MARIO LOPEZ,Mario Lopez,,,,,0
MARISOL AGUERO,Marisol Aguero,,,,,0
MARK CUBAN,Mark Cuban,,,,,0
MARK HALPERIN,Mark Halperin,,,,,0
Mark Kobber,Mark Kobber,,,,,0
MARK LEIBOVICH,Mark Leibovich,,,,,0
MARK LEVIN,Mark Levin,,,,,0
MARK MECKLER,Mark Meckler,,,,,0
MARK MURRAY,Mark Murray,,,,,0
MARSHAWN LYNCH ON TAPE,Marshawn Lynch,,,,,0
MARTHA ROUNTREE,Martha Rountree,,,,,0
MARTIN KALB,Martin Kalb,,,,,0
MARTIN LUTHER KING,Martin Luther,,,,,0
MARTIN O MALLEY,Martin O,,,,,0
MARTIN O<U+0092>MALLEY,Martin O,,,,,0
MARVIN KALB,Marvin Kalb,,,,,0
MARY BONAUTO,Mary Bonauto,,,,,0
MARY MATALIN,Mary Matalin,,,,,0
Mary Tyler Moore,Mary Tyler,,,,,0
MATT BAI,Matt Bai,,,,,0
MATT LAUER,Matt Lauer,,,,,0
MATTHEW CONTINETTI,Matthew Continetti,,,,,0
MATTHEW ROJANSKY,Matthew Rojansky,,,,,0
MAUREEN DOWD,Maureen Dowd,,,,,0
MAURICE JONES RECORDING,Maurice Jones,,,,,0
MAURICE WIENER,Maurice Wiener,,,,,0
MAYOR CARMEN YULIN CRUZ,Mayor Carmen,,,,,0
MAYOR ERIC GARCETTI,Mayor Eric,,,,,0
MAYOR MICHAEL SIGNER,Mayor Michael,,,,,0
MAYOR MURIEL BOWSER,Mayor Muriel,,,,,0
MAYOR STEPHANIE RAWLINGS BLAKE,Stephanie Rawlings Blake,black,mayor,dem,female,1
MAYOR SYLVESTER TURNER,Mayor Sylvester,,,,,0
MEGAN HEIMER,Megan Heimer,,,,,0
MEGAN HEIMER ON TAPE,Megan Heimer,,,,,0
MEGAN MCGRATH,Megan Mcgrath,,,,,0
MEGYN KELLY,Megyn Kelly,,,,,0
MELISSA HARRIS PERRY,Melissa Harris,,,,,0
MELISSA TRUMP VOTER,Melissa Trump,,,,,0
MEMORIAL SERVICE SPEAKER,Memorial Service,,,,,0
MEREDITH VIEIRA,Meredith Vieira,,,,,0
MICAH ZENKO,Micah Zenko,,,,,0
MICHAEL BLOOMBERG,Michael Bloomberg,white,elected,ind,male,1
MICHAEL CHE,Michael Che,,,,,0
MICHAEL CHE AS LESTER HOLT,Michael Che,black,entertainer,dem,male,1
MICHAEL DAVEY,Michael Davey,,,,,0
MICHAEL DELEON,Michael Deleon,,,,,0
MICHAEL ERIC DYSON,Michael Eric,,,,,0
MICHAEL FLYNN,Michael Flynn,white,administration,rep,male,1
MICHAEL GERSON,Michael Gerson,,,,,0
MICHAEL LEITER,Michael Leiter,,,,,0
MICHAEL MCCAUL,Michael Mccaul,,,,,0
MICHAEL MCFAUL,Michael Mcfaul,,,,,0
MICHAEL MOORE,Michael Moore,,,,,0
MICHAEL STEELE,Michael Steele,,,,,0
MICHAEL WOLFF,Michael Wolff,,,,,0
MICHELANGELO IVONE,Michelangelo Ivone,,,,,0
MICHELLE BACHMANN,Michelle Bachmann,,,,,0
MICHELLE OBAMA,Michelle Obama,black,other,dem,male,1
MICK MULVANEY,Mick Mulvaney,,,,,0
MICKEY KAUS,Mickey Kaus,,,,,0
MIGUEL ALMAGUER,Miguel Almaguer,,,,,0
MIKE BLOOMBERG,Michael Bloomberg,white,elected,ind,male,1
MIKE COFFMAN,Mike Coffman,,,,,0
MIKE FLYNN,Mike Flynn,white,administration,rep,male,1
MIKE HUCKABEE,Mike Huckabee,,,,,0
MIKE HUCKABEE ON TAPE,Mike Huckabee,,,,,0
MIKE LEE,Mike Lee,,,,,0
MIKE MCFAUL,Mike Mcfaul,,,,,0
MIKE MURPHY,Mike Murphy,,,,,0
MIKE PENCE,Mike Pence,white,elected,rep,male,1
MIKE POMPEO,Mike Pompeo,,,,,0
MIKE ROWE,Mike Rowe,,,,,0
MIKE TIRICO,Mike Tirico,,,,,0
MITCH MCCONNELL,Mitch Mcconnell,,,,,0
MITT ROMNEY,Mitt Romney,,,,,0
MITT ROMNEY ON TAPE,Mitt Romney,,,,,0
MO UDALL,Mo Udall,,,,,0
MOHAMMED ABDRABBOH DEARBORN LAWYER,Mohammed Abdrabboh,,activist,,male,0.5
MOHAMMED AL KIBSI,Mohammed Al,,,,,0
MOLLY BALL,Molly Ball,,,,,0
MONICA ALBA,Monica Alba,,,,,0
MOORE SUPPORTER 1,Moore Supporter,,,,,0
MOORE SUPPORTER 2,Moore Supporter,,,,,0
MOORE SUPPORTER 3,Moore Supporter,,,,,0
MORGAN FREEMAN,Morgan Freeman,,,,,0
MOS INTERVIEW,Mos Interview,,,,,0
Most important,Most Important,,,,,0
MR AMB ROBERT FORD,Mr Amb,,,,,0
MUHAMMAD ALI,Muhammad Ali,,,,,0
MUJTABA RAHMAN,Mujtaba Rahman,,,,,0
NANCY PELOSI,Nancy Pelosi,white,elected,dem,female,1
NANCY REAGAN,Nancy Reagan,,,,,0
NARRATOR,,,,,,0
NATALIE MORALES,Natalie Morales,,,,,0
NATHAN GONZALES,Nathan Gonzales,,,,,0
NED BROOKS,Ned Brooks,,,,,0
NEERA TANDEN,Neera Tanden,,,,,0
NEIL NEWHOUSE,Neil Newhouse,,,,,0
NEWS ANCHOR,News Anchor,,,,,0
NEWT GINGRICH,Newt Gingrich,,,,,0
NIA MALIKA HENDERSON,Nia Malika,,,,,0
NICHOLLE WALLACE,Nicholle Wallace,,,,,0
NICK FETAHU,Nick Fetahu,,,,,0
Nicolle Wallace,Nicolle Wallace,,,,,0
NICOLLE WALLACE,Nicolle Wallace,,,,,0
NIGEL FARAGE,Nigel Farage,,,,,0
NIKKI HALEY,Nikki Haley,,,,,0
NINA TURNER,Nina Turner,,,,,0
Now here s the issue,Now Here,,,,,0
NUALA O CONNOR,Nuala O,,,,,0
O<U+0092>MALLEY SUPPORTER,O<U,,,,,0
OFFICER SLAGER,Officer Slager,,,,,0
OMB DIR MICK MULVANEY,Omb Dir,,,,,0
One word for you,One Word,,,,,0
ORRIN HATCH,Orrin Hatch,,,,,0
Panel is here,Panel Is,,,,,0
PASTOR JOANN HUMMEL,Pastor Joann,,,,,0
PASTOR MARK BURNS,Pastor Mark,,,,,0
PAT BUCHANAN,Pat Buchanan,,,,,0
PAT TOOMEY,Pat Toomey,,,,,0
PATRICK KENNEDY,Patrick Kennedy,,,,,0
PATRICK KENNEDY TAPE,Patrick Kennedy,,,,,0
PAUL LEPAGE,Paul Lepage,,,,,0
PAUL MANAFORT,Paul Manafort,,,,,0
PAUL RYAN,Paul Ryan,,,,,0
PAUL RYAN ON TAPE,Paul Ryan,,,,,0
PAUL WOLFOWITZ,Paul Wolfowitz,,,,,0
PEGGY NOONAN,Peggy Noonan,,,,,0
PERRY BACON,Perry Bacon,,,,,0
PERRY BACON JR,Perry Bacon,,,,,0
PERRY HOOPER JR,Perry Hooper,,,,,0
PETE WILLIAMS,Pete Williams,,,,,0
PETER ALEXANDER,Peter Alexander,,,,,0
PETER HART,Peter Hart,,,,,0
PHIL HARTMAN,Phil Hartman,,,,,0
PHIL MURPHY,Phil Murphy,,,,,0
POLICE OFFICER DANNY BANKS,Danny Banks,,sme,,,0.25
POPE FRANCIS,Pope Francis,,,,,0
PRES BARACK OBAMA,Pres Barack,black,elected,dem,male,1
PRES BILL CLINTON,Bill Clinton,white,elected,dem,male,1
PRES DONALD TRUMP,Pres Donald,,,,,0
PRES GEORGE H W BUSH,Pres George,,,,,0
PRES JOHN F KENNEDY,Pres John,,,,,0
PRES OBAMA,Pres Obama,black,elected,dem,male,1
PRES TRUMP,Pres Trump,,,,,0
PRES VLADIMIR PUTIN,Pres Vladimir,,,,,0
PRESIDENT BARACK OBAMA,President Barack,black,elected,dem,male,1
PRESIDENT BILL CLINTON,Bill Clinton,white,elected,dem,male,1
PRESIDENT BUSH,President Bush,white,elected,rep,male,1
PRESIDENT CLINTON,President Clinton,,,,,0
PRESIDENT DONALD TRUMP,President Donald,,,,,0
PRESIDENT GEORGE H W BUSH,President George,,,,,0
PRESIDENT GEORGE W BUSH,President George,,,,,0
PRESIDENT JIMMY CARTER,President Jimmy,,,,,0
PRESIDENT JOHN F KENNEDY,President John,,,,,0
PRESIDENT JOHN KENNEDY,President John,,,,,0
PRESIDENT KENNEDY,President Kennedy,,,,,0
PRESIDENT NIXON,President Nixon,,,,,0
PRESIDENT OBAMA,President Obama,black,elected,dem,male,1
PRESIDENT OBAMA ON TAPE,President Obama,black,elected,dem,male,1
PRESIDENT OBAMA TAPE,President Obama,black,elected,dem,male,1
PRESIDENT REAGAN,President Reagan,,,,,0
PRESIDENT RICHARD NIXON,President Richard,,,,,0
PRESIDENT RONALD REAGAN,President Ronald,,,,,0
PRESIDENT TRUMP,President Trump,,,,,0
PRESS SECRETARY SEAN SPICER,Sean Spicer,white,administration,rep,male,1
PROTESTERS,Protester,,,,,0
PROTESTOR,Protestor,,,,,0
PROTESTORS,Protestor,,,,,0
QUESTION 1,Question 1,,,,,0
QUESTION 2,Question 2,,,,,0
Question 2,Question 2,,,,,0
Quote,,,,,,0
RABBI DAVID SAPERSTEIN,Rabbi David,,,,,0
RACHEL MADDOW,Rachel Maddow,,,,,0
RADIO,,,,,,0
RADIO AD,Radio Ad,,,,,0
Radio host Mark Levin,Radio Host,,,,,0
RAJ SHAH,Raj Shah,,,,,0
RAMESH PONNURU,Ramesh Ponnuru,,,,,0
RAND PAUL,Rand Paul,,,,,0
REINCE PRIEBUS,Reince Priebus,,,,,0
REINEC PRIEBUS,Reinec Priebus,,,,,0
REP,,,,,,0
REP ADAM SCHIFF,Rep Adam,,,,,0
REP BARBARA COMSTOCK,Rep Barbara,,,,,0
REP BARBARA LEE,Rep Barbara,,,,,0
REP BARNEY FRANK,Rep Barney,,,,,0
REP BOB GOODLATTE,Rep Bob,,,,,0
REP CEDRIC RICHMOND,Rep Cedric,,,,,0
REP CHARLIE DENT,Rep Charlie,,,,,0
REP CHARLIE RANGEL,Rep Charlie,,,,,0
REP CHRIS VAN HOLLEN,Rep Chris,,,,,0
REP DARRELL ISSA,Rep Darrell,,,,,0
REP DAVE BARAT,Rep Dave,,,,,0
REP DAVE BRAT,Rep Dave,,,,,0
REP DEBBIE DINGELL,Rep Debbie,,,,,0
REP DEBBIE WASSERMAN SCHULTZ,Debbie Wasserman Schultz,white,elected,dem,female,1
REP DEVIN NUNES,Rep Devin,,,,,0
REP DIANE BLACK,Rep Diane,,,,,0
REP DONNA EDWARDS,Rep Donna,,,,,0
REP GREG WALDEN,Rep Greg,,,,,0
REP JACKIE SPEIER,Rep Jackie,,,,,0
REP JAMES CLYBURN,Rep James,,,,,0
REP JAN SCHAKOWSKY,Rep Jan,,,,,0
REP JASON CHAFFETZ,Rep Jason,,,,,0
REP JIM HIMES,Rep Jim,,,,,0
REP JIM JORDAN,Rep Jim,,,,,0
REP JIM RENACCI,Rep Jim,,,,,0
REP JIM TRAFICANT,Rep Jim,,,,,0
REP JOE CROWLEY,Rep Joe,,,,,0
REP JOHN BOEHNER,Rep John,,,,,0
REP JOHN LEWIS,Rep John,,,,,0
REP JUSTIN AMASH,Rep Justin,,,,,0
REP KATHLEEN RICE,Rep Kathleen,,,,,0
REP KEITH ELLISON,Rep Keith,,,,,0
REP KEVIN BRADY,Rep Kevin,,,,,0
REP KEVIN MCCARTHY,Rep Kevin,,,,,0
REP MARK MEADOWS,Rep Mark,,,,,0
REP MARSHA BLACKBURN,Rep Marsha,,,,,0
REP MARTHA MCSALLY,Rep Martha,,,,,0
REP MATT GAETZ,Rep Matt,,,,,0
REP MAXINE WATERS,Rep Maxine,,,,,0
REP MICK MULVANEY,Rep Mick,,,,,0
REP MIKE COFFMAN,Rep Mike,,,,,0
REP MIKE POMPEO,Rep Mike,,,,,0
REP MO BROOKS,Rep Mo,,,,,0
REP NANCY PELOSI,Rep Nancy,white,elected,dem,female,1
REP PAUL RYAN,Rep Paul,,,,,0
REP PETER KING,Rep Peter,,,,,0
REP PETER KING ON TAPE,Rep Peter,,,,,0
REP PETER ROSKAM,Rep Peter,,,,,0
REP RA<da>L LABRADOR,Rep Ra,,,,,0
REP RICHARD HANNA,Rep Richard,,,,,0
REP ROD BLUM,Rep Rod,,,,,0
REP RODNEY DAVIS,Rep Rodney,,,,,0
REP SCOTT TAYLOR,Rep Scott,,,,,0
REP STEVE SCALISE,Rep Steve,,,,,0
REP THOMAS MASSIE,Rep Thomas,,,,,0
REP TIM HUELSKAMP,Rep Tim,,,,,0
REP TIM RYAN,Rep Tim,,,,,0
REP TOM COLE,Rep Tom,,,,,0
REP TOM REED,Rep Tom,,,,,0
REP TREY GOWDY,Rep Trey,,,,,0
REP TULSI GABBARD,Rep Tulsi,,,,,0
REP VIN WEBER ON TAPE,Rep Vin,,,,,0
REP VIRGINIA FOXX,Rep Virginia,,,,,0
REPORTER,,,,,,0
REPRESENTATIVE NANCY PELOSI,Nancy Pelosi,white,elected,dem,female,1
REV AL SHARPTON,Rev Al,,,,,0
REX TILLERSON,Rex Tillerson,,,,,0
REZA ASLAN,Reza Aslan,,,,,0
RICH LOWRY,Rich Lowry,,,,,0
RICHARD BLUMENTHAL,Richard Blumenthal,,,,,0
RICHARD COHEN,Richard Cohen,,,,,0
RICHARD DORMENT,Richard Dorment,,,,,0
RICHARD ENGEL,Richard Engel,,,,,0
RICHARD ENGEL ON TAPE,Richard Engel,,,,,0
RICHARD ENGEL V O,Richard Engel,,,,,0
RICHARD LOWRY,Richard Lowry,,,,,0
RICHARD NIXON,Richard Nixon,,,,,0
RICHARD REINCE PRIEBUS,Richard Reince,,,,,0
RICHARD VALERIANI ON TAPE,Richard Valeriani,,,,,0
RICK,,,,,,0
RICK LAZIO,Rick Lazio,,,,,0
RICK PERRY,Rick Perry,,,,,0
RICK SANTELLI,Rick Santelli,,,,,0
RICK SANTORUM,Rick Santorum,,,,,0
RICK STENGEL,Rick Stengel,,,,,0
RIYAD MANSOUR,Riyad Mansour,,,,,0
ROBBY MOOK,Robby Mook,,,,,0
ROBERT COSTA,Robert Costa,,,,,0
ROBERT DRAPER,Robert Draper,,,,,0
ROBERT FORD,Robert Ford,,,,,0
ROBERT GATES,Robert Gates,,,,,0
ROBERT GIBBS,Robert Gibbs,,,,,0
ROBERT MALONE,Robert Malone,,,,,0
ROBERT MCDONALD,Robert Mcdonald,,,,,0
ROBERT MCDONALD ON TAPE,Robert Mcdonald,,,,,0
ROBERT SUMWALT ON TAPE,Robert Sumwalt,,,,,0
ROBIN QUIVERS,Robin Quivers,,,,,0
Roger Ailes,Roger Ailes,,,,,0
ROGER GOODELL,Roger Goodell,,,,,0
ROGER MUDD,Roger Mudd,,,,,0
ROGER STONE,Roger Stone,,,,,0
RON ALLEN,Ron Allen,,,,,0
RON AMEN ISLAMIC CENTER OF AMERICA,Ron Amen,,activist,,male,0.5
RON FOURNIER,Ron Fournier,,,,,0
Ron here s the problem,Ron Here,,,,,0
RON MOTT,Ron Mott,,,,,0
RON OLSON,Ron Olson,,,,,0
RONALD REAGAN,Ronald Reagan,,,,,0
RONNA MCDANIEL,Ronna Mcdaniel,,,,,0
RONNA McDANIEL,Ronna Mcdaniel,,,,,0
Rosemary Brunner,Rosemary Brunner,,,,,0
ROSS PEROT,Ross Perot,,,,,0
ROY BLUNT,Roy Blunt,,,,,0
ROY MOORE,Roy Moore,,,,,0
RUDY GIULIANI,Rudy Giuliani,,,,,0
RUDY GIULIANI ON TAPE,Rudy Giuliani,,,,,0
RUSH LIMBAUGH,Rush Limbaugh,,,,,0
RUSS HODGES,Russ Hodges,,,,,0
RUTH MARCUS,Ruth Marcus,,,,,0
SAM ARD,Sam Ard,,,,,0
SAM STEIN,Sam Stein,,,,,0
SARA FAGEN,Sara Fagen,,,,,0
Sara Fagen,Sara Fagen,,,,,0
SARAH BRADY,Sarah Brady,,,,,0
SARAH CHAYES,Sarah Chayes,,,,,0
SARAH HUCKABEE SANDERS,Sarah Huckabee,white,administration,rep,female,1
SARAH PALIN,Sarah Palin,,,,,0
SAVANNAH GUTHRIE,Savannah Guthrie,,,,,0
SCOTT PELLEY,Scott Pelley,,,,,0
SCOTT SPRADLING,Scott Spradling,,,,,0
SCOTT WALKER,Scott Walker,,,,,0
SEAN HANNITY,Sean Hannity,,,,,0
SEAN SPICER,Sean Spicer,,,,,0
SEBASTIAN GORKA,Sebastian Gorka,,,,,0
SEC HILLARY CLINTON,Sec Hillary,,,,,0
SEC JEH JOHNSON,Sec Jeh,,,,,0
SEC JOHN KELLY,Sec John,,,,,0
SEC JOHN KERRY,Sec John,,,,,0
SEC MADELEINE ALBRIGHT,Sec Madeleine,,,,,0
SEC REX TILLERSON,Sec Rex,,,,,0
SEC TOM PRICE,Sec Tom,,,,,0
SECRETARY HILLARY CLINTON,Secretary Hillary,,,,,0
SECRETARY JEH JOHNSON,Secretary Jeh,,,,,0
SECRETARY JOHN KERRY,Secretary John,,,,,0
SECRETARY REX TILLERSON,Secretary Rex,,,,,0
SECRETARY TOM PRICE,Secretary Tom,,,,,0
SECY REX TILLERSON,Secy Rex,,,,,0
SECY STEVE MNUCHIN,Secy Steve,,,,,0
SEN AL FRANKEN,Sen Al,,,,,0
SEN AMY KLOBUCHAR D MN,Sen Amy,,,,,0
SEN ANGUS KING,Sen Angus,,,,,0
SEN BARACK OBAMA,Sen Barack,black,elected,dem,male,1
SEN BERNIE SANDERS,Sen Bernie,white,elected,ind,male,1
SEN BILL CASSIDY,Bill Cassidy,white,elected,rep,male,1
SEN BOB CORKER,Sen Bob,,,,,0
SEN BOB GRAHAM,Sen Bob,,,,,0
SEN CHRIS MURPHY,Sen Chris,,,,,0
SEN CHRIS VAN HOLLEN,Sen Chris,,,,,0
SEN CHUCK GRASSLEY,Sen Chuck,,,,,0
SEN CHUCK SCHUMER,Sen Chuck,,,,,0
Sen Chuck Schumer,Sen Chuck,,,,,0
SEN CHUCK TODD,Sen Chuck,,,,,0
SEN CLAIRE MCCASKILL,Sen Claire,,,,,0
SEN CLAIRE McCASKILL,Sen Claire,,,,,0
SEN CORY BOOKER,Sen Cory,,,,,0
SEN CORY GARDNER,Sen Cory,,,,,0
SEN DANIEL PATRICK MOYNIHAN,Daniel Patrick Moynihan,white,elected,dem,male,1
SEN DEAN HELLER,Sen Dean,,,,,0
SEN DIANNE FEINSTEIN,Sen Dianne,,,,,0
SEN DICK DURBIN,Sen Dick,,,,,0
SEN ED MARKEY,Sen Ed,,,,,0
SEN ELIZABETH WARREN,Sen Elizabeth,,,,,0
SEN GRAHAM,Sen Graham,,,,,0
SEN HARRY REID,Sen Harry,,,,,0
SEN HEIDI HEITKAMP,Sen Heidi,,,,,0
SEN JACK REED,Sen Jack,,,,,0
SEN JAMES INHOFE ON TAPE,Sen James,,,,,0
SEN JAMES LANKFORD,Sen James,,,,,0
SEN JEFF FLAKE,Sen Jeff,,,,,0
